auid,name,EthnicSeer,prop,lastname,firstname,Ethnea,Genni,SexMac,SSNgender,Highest_probF_ethnicity,Highest_probF_value
9731334_2,Cameron 'Dale' Bass,ITA,0.6535668537306869,'Dale' Bass,Cameron,ENGLISH,M,mostly_male,-,ENGLISH,92.191
2155715_1,Bert Hart,ENG,0.7723586849638034,Hart,Bert,DUTCH,M,male,M,DUTCH,87.2
7867892_1,Leen Hart,ENG,0.980865268031417,Hart,Leen,DUTCH,-,male,F,DUTCH,98.679
14609221_2,Esther Nolte- Hoen,GER,0.6650811087799122,Nolte- Hoen,Esther,GERMAN,F,female,F,HISPANIC,43.243
8101337_1,Ellen 't Hoen,CHI,0.6655257676187623,'t Hoen,Ellen,DUTCH,F,female,F,DUTCH,37.459
9804785_2,Peter 't Hoen,GER,0.3308639086253469,'t Hoen,Peter,DUTCH,M,male,M,GERMAN,34.203
11032528_1,Geert Jong,GER,0.8344594114179094,Jong,Geert,DUTCH,M,male,-,DUTCH,94.346
10361590_1,Andrea 't Mannetje,GER,0.8607195443872436,'t Mannetje,Andrea,GERMAN-HISPANIC,F,female,F,ITALIAN,49.5
18183136_2,Max Meng,GER,0.6054547424903131,Meng,Max,CHINESE,M,male,M,GERMAN,42.645
9693783_1,Carolyn Wu,CHI,0.7177367313640276,Wu,Carolyn,CHINESE-ENGLISH,F,female,F,ENGLISH,84.012
17281046_4,Stephen Lu,CHI,0.863628846860944,Lu,Stephen,CHINESE-ENGLISH,M,male,M,ENGLISH,88.401
18193103_1,Khaled Ahmed,ARA,0.7245626787931337,Ahmed,Khaled,ARAB,M,male,M,ARAB,95.472
15289043_1,Melanie Bagg,ENG,0.6787427794104263,Bagg,Melanie,ENGLISH,F,female,F,GERMAN,39.067
2936067_1,Cynthia Berg,RUS,0.4811926013989597,Berg,Cynthia,ENGLISH-NORDIC,F,female,F,ENGLISH,74.528
828296_3,Eunice Aparecida Bianchi Galati,ITA,0.9740611449123489,Aparecida Bianchi Galati,Eunice,HISPANIC,F,female,F,HISPANIC,70.928
18966108_3,Christopher Brett,ENG,0.9538857511042824,Brett,Christopher,ENGLISH,M,male,M,ENGLISH,83.769
9144826_4,Joost Campo,FRN,0.5104285192237649,Campo,Joost,DUTCH,M,male,-,DUTCH,98.505
6167841_4,Ian Cree,ENG,0.9701023662021262,Cree,Ian,ENGLISH,M,male,M,ENGLISH,90.42
9539244_1,Kathleen Cronin,ENG,0.9348886791569598,Cronin,Kathleen,ENGLISH,F,female,F,ENGLISH,87.942
7713452_1,Terrence Day,ENG,0.8432080512035656,Day,Terrence,ENGLISH,M,male,M,ENGLISH,75.239
8478356_3,Julius Dewald,GER,0.9049588520760588,Dewald,Julius,GERMAN,M,male,M,AFRICAN,29.812
12113600_1,Amr El-Husseini,ARA,0.9999318496583188,El-Husseini,Amr,ARAB,M,male,M,ARAB,99.51
11671408_4,Miguel Angel Gallo,SPA,0.9441398336457668,Angel Gallo,Miguel,HISPANIC,M,male,M,HISPANIC,92.215
