,Group,apx_1,apx_2,apx_3,descriptor,axis,bucket,Ethnicity,Gender
13492,"('INDIAN', 'M')",67.8,1284.06,831.75,AFAB,gender_and_sex,descriptors,INDIAN,M
6922,"('FRENCH', 'M')",64.27,1002.53,660.65,AFAB,gender_and_sex,descriptors,FRENCH,M
14952,"('ITALIAN', 'F')",60.0,1024.56,670.16,AFAB,gender_and_sex,descriptors,ITALIAN,F
19332,"('NORDIC', 'M')",79.2,1093.36,762.36,AFAB,gender_and_sex,descriptors,NORDIC,M
12032,"('HUNGARIAN', 'M')",80.3,1221.93,793.86,AFAB,gender_and_sex,descriptors,HUNGARIAN,M
8382,"('GERMAN', 'M')",72.62,1077.68,694.01,AFAB,gender_and_sex,descriptors,GERMAN,M
15682,"('ITALIAN', 'M')",65.45,979.53,653.87,AFAB,gender_and_sex,descriptors,ITALIAN,M
24442,"('THAI', 'M')",73.44,981.75,701.12,AFAB,gender_and_sex,descriptors,THAI,M
23712,"('AFRICAN', 'F')",61.03,888.7,594.52,AFAB,gender_and_sex,descriptors,AFRICAN,F
4732,"('DUTCH', 'F')",63.51,966.38,660.56,AFAB,gender_and_sex,descriptors,DUTCH,F
25902,"('BALTIC', 'F')",77.86,1093.68,734.56,AFAB,gender_and_sex,descriptors,BALTIC,F
25172,"('HUNGARIAN', 'F')",73.57,1070.78,741.42,AFAB,gender_and_sex,descriptors,HUNGARIAN,F
20062,"('SLAV', 'F')",73.16,1202.98,819.52,AFAB,gender_and_sex,descriptors,SLAV,F
18602,"('NORDIC', 'F')",71.92,1036.95,727.81,AFAB,gender_and_sex,descriptors,NORDIC,F
26632,"('ISRAELI', 'F')",65.27,1169.24,697.4,AFAB,gender_and_sex,descriptors,ISRAELI,F
28092,"('ENGLISH', 'F')",55.51,696.53,530.03,AFAB,gender_and_sex,descriptors,ENGLISH,F
22982,"('TURKISH', 'M')",72.48,1119.17,775.16,AFAB,gender_and_sex,descriptors,TURKISH,M
16412,"('JAPANESE', 'F')",73.89,1033.84,757.05,AFAB,gender_and_sex,descriptors,JAPANESE,F
7652,"('GERMAN', 'F')",65.56,1012.1,725.33,AFAB,gender_and_sex,descriptors,GERMAN,F
11302,"('HISPANIC', 'M')",69.38,1022.55,655.79,AFAB,gender_and_sex,descriptors,HISPANIC,M
6192,"('FRENCH', 'F')",55.96,987.01,647.0,AFAB,gender_and_sex,descriptors,FRENCH,F
28822,"('ENGLISH', 'M')",59.8,954.42,618.56,AFAB,gender_and_sex,descriptors,ENGLISH,M
20792,"('SLAV', 'M')",78.36,1202.83,819.11,AFAB,gender_and_sex,descriptors,SLAV,M
9842,"('GREEK', 'M')",65.8,1098.58,653.37,AFAB,gender_and_sex,descriptors,GREEK,M
9112,"('GREEK', 'F')",59.59,962.81,535.96,AFAB,gender_and_sex,descriptors,GREEK,F
14222,"('ISRAELI', 'M')",78.72,1212.29,798.21,AFAB,gender_and_sex,descriptors,ISRAELI,M
1812,"('ARAB', 'M')",67.07,1146.86,762.79,AFAB,gender_and_sex,descriptors,ARAB,M
4002,"('CHINESE', 'M')",74.36,1028.6,615.98,AFAB,gender_and_sex,descriptors,CHINESE,M
27362,"('KOREAN', 'F')",74.85,1030.84,798.75,AFAB,gender_and_sex,descriptors,KOREAN,F
17872,"('KOREAN', 'M')",80.31,984.21,741.85,AFAB,gender_and_sex,descriptors,KOREAN,M
12762,"('INDIAN', 'F')",64.07,1266.07,823.13,AFAB,gender_and_sex,descriptors,INDIAN,F
22252,"('TURKISH', 'F')",69.72,1158.31,781.23,AFAB,gender_and_sex,descriptors,TURKISH,F
17142,"('JAPANESE', 'M')",80.9,1148.01,803.3,AFAB,gender_and_sex,descriptors,JAPANESE,M
21522,"('THAI', 'F')",73.96,1122.92,679.72,AFAB,gender_and_sex,descriptors,THAI,F
5462,"('DUTCH', 'M')",69.71,1009.43,721.57,AFAB,gender_and_sex,descriptors,DUTCH,M
2542,"('BALTIC', 'M')",85.47,1185.16,822.43,AFAB,gender_and_sex,descriptors,BALTIC,M
1082,"('ARAB', 'F')",61.7,1156.61,712.81,AFAB,gender_and_sex,descriptors,ARAB,F
352,"('AFRICAN', 'M')",62.06,960.43,629.45,AFAB,gender_and_sex,descriptors,AFRICAN,M
3272,"('CHINESE', 'F')",70.05,964.4,614.73,AFAB,gender_and_sex,descriptors,CHINESE,F
10572,"('HISPANIC', 'F')",59.76,859.19,595.45,AFAB,gender_and_sex,descriptors,HISPANIC,F
28093,"('ENGLISH', 'F')",65.88,1008.71,683.12,AMAB,gender_and_sex,descriptors,ENGLISH,F
26633,"('ISRAELI', 'F')",76.4,1434.37,1013.89,AMAB,gender_and_sex,descriptors,ISRAELI,F
7653,"('GERMAN', 'F')",76.0,1232.04,861.2,AMAB,gender_and_sex,descriptors,GERMAN,F
4003,"('CHINESE', 'M')",82.3,1473.29,881.58,AMAB,gender_and_sex,descriptors,CHINESE,M
16413,"('JAPANESE', 'F')",68.59,1158.97,824.27,AMAB,gender_and_sex,descriptors,JAPANESE,F
10573,"('HISPANIC', 'F')",76.51,1108.76,757.3,AMAB,gender_and_sex,descriptors,HISPANIC,F
11303,"('HISPANIC', 'M')",84.21,1262.86,871.82,AMAB,gender_and_sex,descriptors,HISPANIC,M
353,"('AFRICAN', 'M')",76.09,1094.97,760.89,AMAB,gender_and_sex,descriptors,AFRICAN,M
22983,"('TURKISH', 'M')",91.0,1347.22,982.27,AMAB,gender_and_sex,descriptors,TURKISH,M
27363,"('KOREAN', 'F')",77.61,1333.11,896.91,AMAB,gender_and_sex,descriptors,KOREAN,F
6193,"('FRENCH', 'F')",76.72,1260.16,868.71,AMAB,gender_and_sex,descriptors,FRENCH,F
