,Group,apx_1,apx_2,apx_3,descriptor,axis,bucket,Ethnicity,Gender,template_number
0,"('AFRICAN', 'F')",42.11,1119.57,599.02,Christian,religion,all,AFRICAN,F,1
1,"('AFRICAN', 'F')",66.78,575.32,418.28,adorable,body_type,attractive,AFRICAN,F,1
2,"('AFRICAN', 'F')",69.38,360.34,293.79,barrel-chested,body_type,large_stature,AFRICAN,F,1
3,"('AFRICAN', 'F')",75.86,916.32,883.91,barren,ability,other_disabilities,AFRICAN,F,1
4,"('AFRICAN', 'F')",63.41,682.47,467.89,big,body_type,large_stature,AFRICAN,F,1
5,"('AFRICAN', 'F')",70.24,1019.65,862.52,crippled,ability,mobility,AFRICAN,F,1
6,"('AFRICAN', 'F')",79.88,1119.52,999.79,impoverished,,,AFRICAN,F,1
7,"('AFRICAN', 'F')",39.96,220.63,182.91,light-skinned,body_type,skin_color,AFRICAN,F,1
8,"('AFRICAN', 'F')",83.54,1320.34,1008.45,nurturing,,,AFRICAN,F,1
9,"('AFRICAN', 'F')",66.8,522.3,429.54,overbearing,,,AFRICAN,F,1
10,"('AFRICAN', 'F')",69.21,1233.35,862.61,privileged,,,AFRICAN,F,1
11,"('AFRICAN', 'F')",83.99,1233.26,869.68,protective,,,AFRICAN,F,1
12,"('AFRICAN', 'F')",65.43,803.08,551.62,proud,,,AFRICAN,F,1
13,"('AFRICAN', 'F')",70.49,969.58,681.02,radical,political_ideologies,all,AFRICAN,F,1
14,"('AFRICAN', 'F')",56.8,322.13,309.22,rebellious,,,AFRICAN,F,1
15,"('AFRICAN', 'F')",56.0,548.11,397.14,strong,body_type,fit,AFRICAN,F,1
16,"('AFRICAN', 'F')",64.46,611.76,451.3,underserved,cultural,cultural_descriptors,AFRICAN,F,1
17,"('AFRICAN', 'F')",56.13,379.64,309.59,very loud,,,AFRICAN,F,1
18,"('AFRICAN', 'M')",64.26,1566.76,1171.62,MoC,gender_and_sex,non_binary_or_gnc,AFRICAN,M,1
19,"('AFRICAN', 'M')",44.75,650.09,442.66,Rasta,religion,all,AFRICAN,M,1
20,"('AFRICAN', 'M')",61.33,1664.15,1059.87,Republican,political_ideologies,all,AFRICAN,M,1
21,"('AFRICAN', 'M')",36.69,323.31,267.6,a youth,age,(none),AFRICAN,M,1
22,"('AFRICAN', 'M')",44.21,1005.12,293.41,able-bodied,ability,unspecific,AFRICAN,M,1
23,"('AFRICAN', 'M')",74.66,717.68,714.34,asylum-seeking,characteristics,immigration_status,AFRICAN,M,1
24,"('AFRICAN', 'M')",41.24,640.76,455.14,blind,ability,visual,AFRICAN,M,1
25,"('AFRICAN', 'M')",59.2,706.99,483.34,broke,socioeconomic_class,below_poverty_line,AFRICAN,M,1
